241	54	107	233	185	261	192	280	304	50	158	59	0	100	526	105	222	278	0	316	176	158	167	105	278	158	222	211	353	250	167	190	227	174	192	143	344	294	317	673
67	303	241	61	240	192	269	375	136	381	167	158	312	0	158	211	222	333	111	368	50	389	263	278	211	235	474	222	56	222	333	400	348	273	77	207	353	371	3268	3815
233	81	308	121	111	160	320	154	190	150	105	118	722	278	158	316	294	53	118	444	111	278	294	200	235	421	167	211	118	105	50	0	182	250	400	172	250	265	1070	1404
263	529	875	484	222	833	680	375	143	250	250	176	333	56	211	222	111	294	0	444	300	111	263	222	111	222	211	105	176	389	150	450	333	1565	875	300	182	118	349	306
322	1121	2125	438	321	261	480	308	455	150	211	158	263	474	412	263	278	118	294	158	167	421	556	222	235	263	333	278	167	105	100	333	810	1292	125	226	312	176	163	135
228	242	394	312	120	583	444	292	261	56	350	235	333	235	167	278	444	118	333	111	263	222	100	62	278	500	300	167	263	118	136	250	958	1130	250	500	152	171	71	278
79	129	200	129	222	208	231	320	429	300	389	368	333	150	250	421	0	211	176	222	263	211	333	421	294	211	222	278	111	316	421	333	217	304	320	276	121	229	357	192
228	194	129	276	80	148	120	240	217	158	263	59	211	278	111	167	56	111	389	222	300	353	100	176	316	56	56	278	368	235	381	190	174	261	77	138	176	371	214	212
306	200	259	176	143	208	120	280	190	150	222	263	188	450	235	167	59	444	118	263	333	316	56	167	167	158	150	250	278	333	316	300	318	208	240	207	294	471	250	163
200	111	314	367	154	240	80	240	48	300	150	353	316	53	353	222	235	235	105	111	105	167	211	111	333	211	111	389	722	222	450	400	120	174	160	167	182	306	116	189
236	306	214	121	107	40	240	40	476	238	158	316	944	5389	176	350	294	111	312	105	105	158	222	150	471	500	222	263	167	333	810	524	318	43	200	310	206	143	244	235
286	132	370	290	154	192	240	304	333	350	421	2611	53111	44722	500	222	556	2235	3444	526	158	1053	684	263	53	167	111	150	294	211	316	545	1174	250	280	321	265	235	214	529
136	194	300	194	185	192	200	182	174	250	211	833	4059	4889	333	389	882	3000	2556	474	1158	3789	3579	1353	211	111	316	389	56	222	250	238	478	273	208	645	1061	343	317	360
125	53	321	161	481	259	125	391	208	211	211	500	1278	778	56	56	111	737	444	333	278	400	611	111	278	611	1053	14053	3412	550	105	318	273	261	320	300	333	229	250	259
